Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
Goku2057,goku2057#NA1,SUP,AWB,38,Gold 1-4,Gold 2 41 LP,Gold 2 41 LP,Gold 2 41 LP,,,Gold 2 39 LP,,,Twitch Link
Tiger58,Tiger58#SDC,SUP,SI,39,Gold 1-4,Emerald 4 0 LP,Gold 3 62 LP,,,,Gold 3 74 LP,Emerald 4 0 LP,,
dameionaruto,DameioNaruto#GOKAI,MID|JGL,GF,39,Gold 1-4,Platinum 4 14 LP,,Gold 3 49 LP,,,,Platinum 4 14 LP,Platinum 4 0 LP,
drjacka1,DrJackal#9921,JGL,,40,Silver 1-4,Gold 4 24 LP,Gold 4 24 LP,Silver 2 82 LP,,Bronze 3 9 LP,,,,
icebirb.,No Hwei#green,MID|SUP,LKMT,40,Silver 1-4,Gold 4 0 LP,,Silver 4 58 LP,,,Gold 4 0 LP,Silver 2 36 LP,,
Serided,Serided#RoHan,BOT|MID,o7,41,Silver 1-4,Silver 1 60 LP,Silver 1 60 LP,Silver 4 0 LP,,,,Silver 2 0 LP,,
Elvynya,Elvynya#Lucy|Lucy Lulu#NA1,BOT|SUP,MDFC,41,Silver 1-4,Gold 3 47 LP,,,,,Gold 4 0 LP,,,Twitch Stream
shotsfortots,it is what it is#na3,BOT|SUP,LEG,41,Silver 1-4,Gold 4 8 LP,,,,,,,Silver 3 90 LP,
feeshstix,Feeshstix#fish,BOT,LEG,43,Silver 1-4,,,,,,,,,
datgillyweed,gilly#1111,MID|SUP,o7,44,Bronze 1-4,Bronze 2 23 LP,Bronze 2 23 LP,Bronze 2 3 LP,,,Bronze 3 78 LP,,,
jesshipo,PeachyVibes#80085,BOT|SUP,,45,Bronze 1-4,Silver 4 73 LP,,,,Silver 4 0 LP,,,Silver 4 73 LP,
crazymike1,Expertknifer#DADDY,BOT|SUP,,45,Bronze 1-4,Silver 3 80 LP,Bronze 1 16 LP,,,Silver 3 80 LP,Silver 4 24 LP,,,
kie2522,,SUP,,45,Silver 1-4,,,,,,,,,
brandis_,Brandis#0704,JGL,PP,46,Bronze 1-4,Bronze 1 30 LP,Bronze 3 79 LP,Bronze 3 43 LP,,,,,,
joshe21,Bosco23#0323,SUP,,46,Bronze 1-4,Bronze 1 7 LP,Bronze 1 1 LP,Bronze 1 7 LP,,Iron 4 0 LP,,,,
angelofpaper2,AngelOfPaper2#NA1|AngelOfPaper3#GGS,MID|TOP,GT,47,Silver 1-4,Silver 2 9 LP,Silver 2 9 LP,,,,Bronze 2 94 LP,Silver 4 0 LP,,
crusader_iii,WanderingNomad#Sader,JGL,,48,Bronze 1-4,Bronze 4 11 LP,Bronze 4 11 LP,Bronze 4 0 LP,,,,,,
Skymoare,Skymoare#poro,MID,,48,Bronze 1-4,Bronze 4 47 LP,Bronze 4 47 LP,Bronze 4 0 LP,,,,,,
peachyboop,PeachyBoop#xdd,SUP|JGL,,49,Iron 1-4,Bronze 4 13 LP,,,,Iron 2 26 LP,Bronze 4 13 LP,Iron 2 63 LP,,
Warmpikmin,TahmTuah#6088,TOP|MID,MBR,49,Iron 1-4,Iron 1 48 LP,Iron 1 48 LP,Iron 3 17 LP,,,,,,
